Official Name State,Official Name Suburb,latitude,longitude
Victoria,Diamond Creek,-37.66789635,145.1566947
Victoria,Dingee,-36.36516893,144.2125697
Victoria,Doctors Flat,-37.3086522,147.7342255
Victoria,Dunach,-37.22202344,143.7311397
Victoria,East Bairnsdale,-37.8549958,147.6766993
Victoria,Elmhurst,-37.17530528,143.2584985
Victoria,Flowerdale (Vic.),-37.33181258,145.3024592
Victoria,Geelong West,-38.13932121,144.344941
Victoria,Glenalbyn,-36.48782103,143.7235669
Victoria,Glenisla,-37.24621956,142.2240025
Victoria,Goroke,-36.67135755,141.4890142
Victoria,Hallston,-38.36364894,146.0366736
Victoria,Hattah,-34.71996167,142.3313936
Victoria,Heathcote South,-37.01116355,144.7111635
Victoria,Hedley,-38.65493407,146.5422897
Victoria,Hernes Oak,-38.22177464,146.3135636
Victoria,Homewood,-37.20148104,145.3112411
Victoria,Howqua,-37.24264924,146.1933723
Victoria,Irrewillipe East,-38.43076253,143.4850463
Victoria,Ivanhoe (Vic.),-37.76786384,145.0435804
Victoria,Jan Juc,-38.34455545,144.2950804
Victoria,Kennington,-36.77121251,144.3029973
Victoria,Kevington,-37.36017371,146.1693989
Victoria,Kiata,-36.35747694,141.7828366
Victoria,Kinglake Central,-37.47082455,145.3205128
Victoria,Kotupna,-36.13515547,145.1117462
Victoria,Kunat,-35.51403619,143.537846
Victoria,Little River (Vic.),-37.93199906,144.4668736
Victoria,Lower Plenty,-37.73885516,145.1161508
Victoria,Lynbrook,-38.05600766,145.2562522
Victoria,Maindample,-37.02552057,145.9585914
Victoria,Maribyrnong,-37.77273306,144.8877276
Victoria,McKinnon,-37.91063394,145.0383729
Victoria,Meadow Creek,-36.60250448,146.4535002
Victoria,Miowera,-37.47111722,147.0748443
Victoria,Moe,-38.17861342,146.2503118
Victoria,Moggs Creek,-38.46315514,144.062994
Victoria,Monbulk,-37.87388728,145.4277006
Victoria,Mont Albert North,-37.80338773,145.1107582
Victoria,Montmorency,-37.71905704,145.1251047
Victoria,Murchison (Vic.),-36.62546074,145.1795071
Victoria,Myrtle Creek (Vic.),-36.93641045,144.4059575
Victoria,Nanneella,-36.34475816,144.7961009
Victoria,Newington (Vic.),-37.56403565,143.827585
Victoria,Pascoe Vale South,-37.74316486,144.9384808
Victoria,Patterson Lakes,-38.06932443,145.1432809
Victoria,Pitfield,-37.82629224,143.596124
Victoria,Purdeet,-37.93836916,142.4015764
Victoria,Reedy Flat,-37.40292036,147.9469091
Victoria,Roslynmead,-36.13457181,144.5294427
Victoria,Sawmill Settlement,-37.12192952,146.3663517
Victoria,Smiths Beach,-38.50065217,145.2549703
Victoria,Smiths Gully,-37.62706071,145.2884602
Victoria,Somerton (Vic.),-37.63464825,144.9507386
Victoria,Stavely,-37.60804618,142.6264164
Victoria,Stockdale,-37.8297558,147.1827269
Victoria,Surrey Hills,-37.82671758,145.0981763
Victoria,Swanpool,-36.72702484,145.9998076
Victoria,Tallarook,-37.12797678,145.1315613
Victoria,Teesdale (Vic.),-38.02365579,144.0548813
Victoria,The Sisters,-38.18303443,142.7851492
